FID,NTACode,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Avg_annavg_PM25,Avg_annavg_NO2,tertile_buildingemissions,tertile_buildingdensity,tertile_trafficdensity,tertile_industrial
1,BK09,3,Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill,8.159925978,22.43931682,3,3,3,2
2,BK17,3,Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,6.701257899,15.74486353,2,2,1,1
3,BK19,3,Brooklyn,47,BK19,Brighton Beach,6.922784411,16.46097272,2,2,2,1
4,BK21,3,Brooklyn,47,BK21,Seagate-Coney Island,6.661466833,14.25057065,1,1,1,2
5,BK23,3,Brooklyn,47,BK23,West Brighton,6.949573811,15.49428007,2,2,2,2
6,BK25,3,Brooklyn,47,BK25,Homecrest,7.124497486,17.73207528,2,2,2,1
7,BK26,3,Brooklyn,47,BK26,Gravesend,6.814494411,15.51744095,2,2,1,2
8,BK27,3,Brooklyn,47,BK27,Bath Beach,6.96873595,17.76576062,2,2,2,1
9,BK28,3,Brooklyn,47,BK28,Bensonhurst West,7.059982819,18.67982466,2,2,1,2
10,BK29,3,Brooklyn,47,BK29,Bensonhurst East,6.948016391,17.99482572,2,2,1,1
11,BK30,3,Brooklyn,47,BK30,Dyker Heights,7.342519996,18.89246935,2,2,2,2
12,BK31,3,Brooklyn,47,BK31,Bay Ridge,7.258177617,18.71939346,2,2,3,1
13,BK32,3,Brooklyn,47,BK32,Sunset Park West,8.827574008,20.61795007,2,2,3,3
14,BK33,3,Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook,8.52752336,20.53932178,2,2,3,3
15,BK34,3,Brooklyn,47,BK34,Sunset Park East,7.518813449,19.79256142,2,3,1,3
16,BK35,3,Brooklyn,47,BK35,Stuyvesant Heights,7.364630863,20.32539985,3,3,1,2
17,BK37,3,Brooklyn,47,BK37,Park Slope-Gowanus,8.334862434,21.18743766,2,3,3,3
