GEOCODE,NTACode,GEONAME,BOROUGH,VALUE
4709,BK09,Brooklyn Heights-Cobble Hill,Brooklyn,0.1
4717,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,0.1
4719,BK19,Brighton Beach,Brooklyn,0.1
4721,BK21,Seagate-Coney Island,Brooklyn,0.1
4723,BK23,West Brighton,Brooklyn,0.1
4725,BK25,Homecrest,Brooklyn,0.1
4726,BK26,Gravesend,Brooklyn,0.1
4727,BK27,Bath Beach,Brooklyn,0.1
4728,BK28,Bensonhurst West,Brooklyn,0.1
4729,BK29,Bensonhurst East,Brooklyn,0.1
4730,BK30,Dyker Heights,Brooklyn,0.1
4731,BK31,Bay Ridge,Brooklyn,0.1
4732,BK32,Sunset Park West,Brooklyn,0.1
4733,BK33,Carroll Gardens-Columbia Street-Red Hook,Brooklyn,0.1
4734,BK34,Sunset Park East,Brooklyn,0.1
4735,BK35,Stuyvesant Heights,Brooklyn,0.1
4737,BK37,Park Slope-Gowanus,Brooklyn,0.1
4738,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,0.1
4740,BK40,Windsor Terrace,Brooklyn,0.1
4741,BK41,Kensington-Ocean Parkway,Brooklyn,0.1
4742,BK42,Flatbush,Brooklyn,0.1
4743,BK43,Midwood,Brooklyn,0.1
4744,BK44,Madison,Brooklyn,0.1
4745,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,0.1
4746,BK46,Ocean Parkway South,Brooklyn,0.1
4750,BK50,Canarsie,Brooklyn,0.1
4758,BK58,Flatlands,Brooklyn,0.1
4760,BK60,Prospect Lefferts Gardens-Wingate,Brooklyn,0.1
4761,BK61,Crown Heights North,Brooklyn,0.1
4763,BK63,Crown Heights South,Brooklyn,0.1
4764,BK64,Prospect Heights,Brooklyn,0.1
4768,BK68,Fort Greene,Brooklyn,0.1
4769,BK69,Clinton Hill,Brooklyn,0.1
4772,BK72,Williamsburg,Brooklyn,-0.5
4773,BK73,North Side-South Side,Brooklyn,-0.5
4775,BK75,Bedford,Brooklyn,0.1
4776,BK76,Greenpoint,Brooklyn,-0.5
4777,BK77,Bushwick North,Brooklyn,0.1
4778,BK78,Bushwick South,Brooklyn,0.1
4779,BK79,Ocean Hill,Brooklyn,0.1
4781,BK81,Brownsville,Brooklyn,0.1
4782,BK82,East New York,Brooklyn,0.1
4783,BK83,Cypress Hills-City Line,Brooklyn,0.1
4785,BK85,East New York (Pennsylvania Ave),Brooklyn,0.1
4788,BK88,Borough Park,Brooklyn,0.1
4790,BK90,East Williamsburg,Brooklyn,-0.5
4791,BK91,East Flatbush-Farragut,Brooklyn,0.1
4793,BK93,Starrett City,Brooklyn,0.1
4795,BK95,Erasmus,Brooklyn,0.1
4796,BK96,Rugby-Remsen Village,Brooklyn,0.1
4799,BK99,park-cemetery-etc-Brooklyn,Brooklyn,0
501,BX01,Claremont-Bathgate,Bronx,0.1
503,BX03,Eastchester-Edenwald-Baychester,Bronx,0.1
505,BX05,Bedford Park-Fordham North,Bronx,0.1
506,BX06,Belmont,Bronx,0.1
507,BX07,Bronxdale,Bronx,0.1
508,BX08,West Farms-Bronx River,Bronx,0.1
509,BX09,Soundview-Castle Hill-Clason Point-Harding Park,Bronx,0.1
510,BX10,Pelham Bay-Country Club-City Island,Bronx,0.1
513,BX13,Co-op City,Bronx,0.1
514,BX14,East Concourse-Concourse Village,Bronx,0.1
517,BX17,East Tremont,Bronx,0.1
522,BX22,North Riverdale-Fieldston-Riverdale,Bronx,0.1
526,BX26,Highbridge,Bronx,0.1
527,BX27,Hunts Point,Bronx,0.6
