END_DATE,HEAT_ED_VISIT_COUNT,MAX_DAILY_TEMP
2026-05-01,1,64
2026-05-02,2,61
2026-05-03,0,61
2026-05-04,1,72
2026-05-05,2,77
2026-05-06,1,67
2026-05-07,2,64
2026-05-08,1,63
2026-05-09,0,64
2026-05-10,1,73
2026-05-11,1,68
2026-05-12,0,67
2026-05-13,2,72
2026-05-14,4,67
2026-05-15,0,66
2026-05-16,2,77
2026-05-17,6,90
2026-05-18,5,88
2026-05-19,29,97
2026-05-20,29,95
2026-05-21,6,73
2026-05-22,1,68
2026-05-23,1,61
2026-05-24,1,57
2026-05-25,1,75
2026-05-26,4,81
2026-05-27,5,85
2026-05-28,3,81
2026-05-29,2,79
2026-05-30,1,75
2026-05-31,4,79
2026-06-01,1,73
2026-06-02,0,76
2026-06-03,7,83
2026-06-04,11,86
2026-06-05,13,91
2026-06-06,13,91
2026-06-07,6,82
2026-06-08,1,75
2026-06-09,1,81
2026-06-10,6,87
2026-06-11,26,101
2026-06-12,32,100
2026-06-13,15,88
