start_date,time,geo_join_id,neighborhood,data_value,message
2014-01-01,2014,101,Kingsbridge - Riverdale,91.6,Estimate is based on small numbers so should be interpreted with caution.
2015-01-01,2015,101,Kingsbridge - Riverdale,97.4,
2013-01-01,2013,101,Kingsbridge - Riverdale,82,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,101,Kingsbridge - Riverdale,84.4,
2016-01-01,2016,101,Kingsbridge - Riverdale,94,
2017-01-01,2017,101,Kingsbridge - Riverdale,92.4,
2013-01-01,2013,102,Northeast Bronx,80.3,
2014-01-01,2014,102,Northeast Bronx,92.7,Estimate is based on small numbers so should be interpreted with caution.
2016-01-01,2016,102,Northeast Bronx,94.6,
2017-01-01,2017,102,Northeast Bronx,93,
2015-01-01,2015,102,Northeast Bronx,90.8,
2012-01-01,2012,102,Northeast Bronx,78.4,
2012-01-01,2012,103,Fordham - Bronx Pk,71.6,
2013-01-01,2013,103,Fordham - Bronx Pk,76.4,
2014-01-01,2014,103,Fordham - Bronx Pk,82.2,
2015-01-01,2015,103,Fordham - Bronx Pk,80.5,
2016-01-01,2016,103,Fordham - Bronx Pk,86,
2017-01-01,2017,103,Fordham - Bronx Pk,86.7,
2015-01-01,2015,104,Pelham - Throgs Neck,88.8,
2012-01-01,2012,104,Pelham - Throgs Neck,82.5,
2014-01-01,2014,104,Pelham - Throgs Neck,83.9,
2016-01-01,2016,104,Pelham - Throgs Neck,89.7,
2013-01-01,2013,104,Pelham - Throgs Neck,78.1,
2017-01-01,2017,104,Pelham - Throgs Neck,85.8,
2013-01-01,2013,105,Crotona -Tremont,75.5,
2016-01-01,2016,105,Crotona -Tremont,86,
2012-01-01,2012,105,Crotona -Tremont,76.5,
2015-01-01,2015,105,Crotona -Tremont,89.2,
2017-01-01,2017,105,Crotona -Tremont,86,
2014-01-01,2014,105,Crotona -Tremont,82.7,
2013-01-01,2013,106,High Bridge - Morrisania,75.5,
2016-01-01,2016,106,High Bridge - Morrisania,90.2,
2012-01-01,2012,106,High Bridge - Morrisania,76.5,
2014-01-01,2014,106,High Bridge - Morrisania,82.7,
2015-01-01,2015,106,High Bridge - Morrisania,86.7,
2017-01-01,2017,106,High Bridge - Morrisania,85.3,
2012-01-01,2012,107,Hunts Point - Mott Haven,76.5,
2014-01-01,2014,107,Hunts Point - Mott Haven,82.7,
2017-01-01,2017,107,Hunts Point - Mott Haven,86,
2016-01-01,2016,107,Hunts Point - Mott Haven,79.6,Estimate is based on small numbers so should be interpreted with caution.
2013-01-01,2013,107,Hunts Point - Mott Haven,75.5,
2015-01-01,2015,107,Hunts Point - Mott Haven,86.3,
2012-01-01,2012,201,Greenpoint,82.9,
2013-01-01,2013,201,Greenpoint,83.4,
2014-01-01,2014,201,Greenpoint,89.4,Estimate is based on small numbers so should be interpreted with caution.
2015-01-01,2015,201,Greenpoint,91.5,
2016-01-01,2016,201,Greenpoint,94.1,
2017-01-01,2017,201,Greenpoint,92,
2015-01-01,2015,202,Downtown - Heights - Slope,89.2,
2016-01-01,2016,202,Downtown - Heights - Slope,93.9,
2017-01-01,2017,202,Downtown - Heights - Slope,92,
2012-01-01,2012,202,Downtown - Heights - Slope,80.7,
2013-01-01,2013,202,Downtown - Heights - Slope,84,
2014-01-01,2014,202,Downtown - Heights - Slope,90.1,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,203,Bedford Stuyvesant - Crown Heights,78.9,
2013-01-01,2013,203,Bedford Stuyvesant - Crown Heights,78.9,
2014-01-01,2014,203,Bedford Stuyvesant - Crown Heights,86.8,
2015-01-01,2015,203,Bedford Stuyvesant - Crown Heights,88,
2016-01-01,2016,203,Bedford Stuyvesant - Crown Heights,88.2,
2017-01-01,2017,203,Bedford Stuyvesant - Crown Heights,88.8,
2012-01-01,2012,204,East New York,82.1,
2013-01-01,2013,204,East New York,66.3,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014,204,East New York,84.9,
2015-01-01,2015,204,East New York,96.3,
2016-01-01,2016,204,East New York,88.9,
2017-01-01,2017,204,East New York,89.4,
2012-01-01,2012,205,Sunset Park,78.1,
2015-01-01,2015,205,Sunset Park,69.3,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,2017,205,Sunset Park,69.6,
2013-01-01,2013,205,Sunset Park,64.4,
2014-01-01,2014,205,Sunset Park,78.3,
2016-01-01,2016,205,Sunset Park,72.5,
2014-01-01,2014,206,Borough Park,84.7,
2015-01-01,2015,206,Borough Park,83.9,
2016-01-01,2016,206,Borough Park,89.3,
2013-01-01,2013,206,Borough Park,70.8,
2012-01-01,2012,206,Borough Park,86.1,
2017-01-01,2017,206,Borough Park,91.8,
2014-01-01,2014,207,East Flatbush - Flatbush,87.7,
2013-01-01,2013,207,East Flatbush - Flatbush,77,
2017-01-01,2017,207,East Flatbush - Flatbush,86.3,
2012-01-01,2012,207,East Flatbush - Flatbush,75,
2015-01-01,2015,207,East Flatbush - Flatbush,85.7,
2016-01-01,2016,207,East Flatbush - Flatbush,85.3,
2013-01-01,2013,208,Canarsie - Flatlands,81.6,
2015-01-01,2015,208,Canarsie - Flatlands,91.8,
2014-01-01,2014,208,Canarsie - Flatlands,93.1,
2016-01-01,2016,208,Canarsie - Flatlands,91.9,
2017-01-01,2017,208,Canarsie - Flatlands,87,
2012-01-01,2012,208,Canarsie - Flatlands,81.2,
2015-01-01,2015,209,Bensonhurst - Bay Ridge,87.1,
2012-01-01,2012,209,Bensonhurst - Bay Ridge,85.1,
2013-01-01,2013,209,Bensonhurst - Bay Ridge,80,
2014-01-01,2014,209,Bensonhurst - Bay Ridge,79.3,
2016-01-01,2016,209,Bensonhurst - Bay Ridge,90.3,
2017-01-01,2017,209,Bensonhurst - Bay Ridge,87.5,
2017-01-01,2017,210,Coney Island - Sheepshead Bay,90.5,
2012-01-01,2012,210,Coney Island - Sheepshead Bay,80.8,
2014-01-01,2014,210,Coney Island - Sheepshead Bay,87.3,
2015-01-01,2015,210,Coney Island - Sheepshead Bay,90.6,
2013-01-01,2013,210,Coney Island - Sheepshead Bay,81,
2016-01-01,2016,210,Coney Island - Sheepshead Bay,89,
2012-01-01,2012,211,Williamsburg - Bushwick,77.5,
2016-01-01,2016,211,Williamsburg - Bushwick,77.6,
2013-01-01,2013,211,Williamsburg - Bushwick,76.7,
2014-01-01,2014,211,Williamsburg - Bushwick,74.7,
2015-01-01,2015,211,Williamsburg - Bushwick,89.4,
2017-01-01,2017,211,Williamsburg - Bushwick,82.1,
2016-01-01,2016,301,Washington Heights,89.2,
2013-01-01,2013,301,Washington Heights,75,
2014-01-01,2014,301,Washington Heights,85.5,
2015-01-01,2015,301,Washington Heights,80.7,
2012-01-01,2012,301,Washington Heights,78.8,
2017-01-01,2017,301,Washington Heights,87.5,
2013-01-01,2013,302,Central Harlem - Morningside Heights,82,
2012-01-01,2012,302,Central Harlem - Morningside Heights,86.3,
