geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,3.1,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,48.4,
209,Bensonhurst - Bay Ridge,5.8,
206,Borough Park,4.5,
208,Canarsie - Flatlands,24.8,
302,Central Harlem - Morningside Heights,62,
306,Chelsea - Clinton,10.5,Estimate is based on small numbers so should be interpreted with caution.
210,Coney Island - Sheepshead Bay,9.6,
105,Crotona -Tremont,47.8,
202,Downtown - Heights - Slope,19.5,
207,East Flatbush - Flatbush,41.4,
303,East Harlem,52.6,
204,East New York,52,
403,Flushing - Clearview,12.5,
103,Fordham - Bronx Pk,63.6,
406,Fresh Meadows,15.7,
307,Gramercy Park - Murray Hill,13.7,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,5.5,
308,Greenwich Village - SoHo,1.8,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,63.7,
107,Hunts Point - Mott Haven,56.5,
408,Jamaica,25,
101,Kingsbridge - Riverdale,23.2,
401,Long Island City - Astoria,10.3,
310,Lower Manhattan,20.4,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,42.4,
104,Pelham - Throgs Neck,42.7,
501,Port Richmond,36.6,
405,Ridgewood - Forest Hills,14,
410,Rockaways,17.1,
504,South Beach - Tottenville,3.9,
409,Southeast Queens,17.2,
407,Southwest Queens,12.8,
502,Stapleton - St. George,15.5,
205,Sunset Park,7.4,
309,Union Square - Lower East Side,24.3,
305,Upper East Side,7.2,
304,Upper West Side,7.2,
301,Washington Heights,32.4,
402,West Queens,14.9,
211,Williamsburg - Bushwick,33,
503,Willowbrook,3.8,Estimate is based on small numbers so should be interpreted with caution.
