start_date,time,geo_join_id,neighborhood,data_value,message
2015-01-01,2015,101,Kingsbridge - Riverdale,1.3,
2013-01-01,2013,101,Kingsbridge - Riverdale,2,
2013-01-01,2013,102,Northeast Bronx,0.3,
2015-01-01,2015,102,Northeast Bronx,0.3,
2015-01-01,2015,103,Fordham - Bronx Pk,2.3,
2013-01-01,2013,103,Fordham - Bronx Pk,3,
2015-01-01,2015,104,Pelham - Throgs Neck,0.4,
2013-01-01,2013,104,Pelham - Throgs Neck,0.5,
2013-01-01,2013,105,Crotona -Tremont,2,
2015-01-01,2015,105,Crotona -Tremont,1.3,
2015-01-01,2015,106,High Bridge - Morrisania,1.9,
2013-01-01,2013,106,High Bridge - Morrisania,2.4,
2015-01-01,2015,107,Hunts Point - Mott Haven,0.3,
2013-01-01,2013,107,Hunts Point - Mott Haven,0.4,
2015-01-01,2015,201,Greenpoint,0,
2013-01-01,2013,201,Greenpoint,0.1,
2013-01-01,2013,202,Downtown - Heights - Slope,0.1,
2015-01-01,2015,202,Downtown - Heights - Slope,0.2,
2013-01-01,2013,203,Bedford Stuyvesant - Crown Heights,0.1,
2015-01-01,2015,203,Bedford Stuyvesant - Crown Heights,0.2,
2015-01-01,2015,204,East New York,0,
2013-01-01,2013,204,East New York,0,
2015-01-01,2015,205,Sunset Park,0.1,
2013-01-01,2013,205,Sunset Park,0,
2015-01-01,2015,206,Borough Park,0.2,
2013-01-01,2013,206,Borough Park,0.2,
2013-01-01,2013,207,East Flatbush - Flatbush,0.3,
2015-01-01,2015,207,East Flatbush - Flatbush,0.2,
2015-01-01,2015,208,Canarsie - Flatlands,0,
2013-01-01,2013,208,Canarsie - Flatlands,0,
2013-01-01,2013,209,Bensonhurst - Bay Ridge,0.2,
2015-01-01,2015,209,Bensonhurst - Bay Ridge,0.2,
2013-01-01,2013,210,Coney Island - Sheepshead Bay,0.1,
2015-01-01,2015,210,Coney Island - Sheepshead Bay,0.1,
2013-01-01,2013,211,Williamsburg - Bushwick,0.1,
2015-01-01,2015,211,Williamsburg - Bushwick,0.1,
2013-01-01,2013,301,Washington Heights,5.8,
2015-01-01,2015,301,Washington Heights,4.2,
2013-01-01,2013,302,Central Harlem - Morningside Heights,2,
2015-01-01,2015,302,Central Harlem - Morningside Heights,1.6,
2015-01-01,2015,303,East Harlem,0.7,
2013-01-01,2013,303,East Harlem,1.3,
2013-01-01,2013,304,Upper West Side,11.4,
2015-01-01,2015,304,Upper West Side,7,
2013-01-01,2013,305,Upper East Side,10.8,
2015-01-01,2015,305,Upper East Side,5.7,
2013-01-01,2013,306,Chelsea - Clinton,7.7,
2015-01-01,2015,306,Chelsea - Clinton,4.9,
2013-01-01,2013,307,Gramercy Park - Murray Hill,9,
2015-01-01,2015,307,Gramercy Park - Murray Hill,5.5,
2013-01-01,2013,308,Greenwich Village - SoHo,4.1,
2015-01-01,2015,308,Greenwich Village - SoHo,2.6,
2015-01-01,2015,309,Union Square - Lower East Side,2,
2013-01-01,2013,309,Union Square - Lower East Side,3,
2013-01-01,2013,310,Lower Manhattan,1.7,
2015-01-01,2015,310,Lower Manhattan,1.2,
2013-01-01,2013,401,Long Island City - Astoria,0.8,
2015-01-01,2015,401,Long Island City - Astoria,0.7,
2015-01-01,2015,402,West Queens,0.2,
2013-01-01,2013,402,West Queens,0.3,
2013-01-01,2013,403,Flushing - Clearview,0.6,
2015-01-01,2015,403,Flushing - Clearview,0.4,
2013-01-01,2013,404,Bayside - Little Neck,0.2,
2015-01-01,2015,404,Bayside - Little Neck,0.2,
2015-01-01,2015,405,Ridgewood - Forest Hills,0.2,
2013-01-01,2013,405,Ridgewood - Forest Hills,0.3,
2015-01-01,2015,406,Fresh Meadows,0.4,
2013-01-01,2013,406,Fresh Meadows,0.5,
2015-01-01,2015,407,Southwest Queens,0.1,
2013-01-01,2013,407,Southwest Queens,0.1,
2015-01-01,2015,408,Jamaica,0.1,
2013-01-01,2013,408,Jamaica,0.1,
2013-01-01,2013,409,Southeast Queens,0,
2015-01-01,2015,409,Southeast Queens,0,
2013-01-01,2013,410,Rockaways,0,
2015-01-01,2015,410,Rockaways,0,
2015-01-01,2015,501,Port Richmond,0,
2013-01-01,2013,501,Port Richmond,0,
2013-01-01,2013,502,Stapleton - St. George,0,
2015-01-01,2015,502,Stapleton - St. George,0,
2015-01-01,2015,503,Willowbrook,0,
2013-01-01,2013,503,Willowbrook,0,
2013-01-01,2013,504,South Beach - Tottenville,0,
2015-01-01,2015,504,South Beach - Tottenville,0,
