geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,3.66,
203,Bedford Stuyvesant - Crown Heights,6.59,
209,Bensonhurst - Bay Ridge,10.5,
206,Borough Park,17.16,
208,Canarsie - Flatlands,6.44,
302,Central Harlem - Morningside Heights,5.92,
306,Chelsea - Clinton,4.14,
210,Coney Island - Sheepshead Bay,9.87,
105,Crotona -Tremont,15.31,
202,Downtown - Heights - Slope,6.08,
207,East Flatbush - Flatbush,10.13,
303,East Harlem,7.62,
204,East New York,13.85,
403,Flushing - Clearview,8.7,
103,Fordham - Bronx Pk,16.84,
406,Fresh Meadows,8.27,
307,Gramercy Park - Murray Hill,3.97,
201,Greenpoint,8.23,
308,Greenwich Village - SoHo,5.86,
106,High Bridge - Morrisania,15.38,
107,Hunts Point - Mott Haven,12.48,
408,Jamaica,10.71,
101,Kingsbridge - Riverdale,6.78,
401,Long Island City - Astoria,7.1,
310,Lower Manhattan,7.93,
102,Northeast Bronx,7.81,
104,Pelham - Throgs Neck,9.36,
501,Port Richmond,6.23,
405,Ridgewood - Forest Hills,6.34,
410,Rockaways,7.38,
504,South Beach - Tottenville,2.06,
409,Southeast Queens,3.96,
407,Southwest Queens,8.79,
502,Stapleton - St. George,5.89,
205,Sunset Park,22.64,
309,Union Square - Lower East Side,5.67,
305,Upper East Side,3.92,
304,Upper West Side,2.88,
301,Washington Heights,11.88,
402,West Queens,17.22,
211,Williamsburg - Bushwick,10.92,
503,Willowbrook,4.62,
