geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,7.5,
203,Bedford Stuyvesant - Crown Heights,36.5,
209,Bensonhurst - Bay Ridge,19.4,
206,Borough Park,24.2,
208,Canarsie - Flatlands,26.3,
302,Central Harlem - Morningside Heights,28.4,
306,Chelsea - Clinton,11.7,
210,Coney Island - Sheepshead Bay,18.2,
105,Crotona -Tremont,47.6,
202,Downtown - Heights - Slope,20.7,
207,East Flatbush - Flatbush,32.9,
303,East Harlem,30,
204,East New York,34,
403,Flushing - Clearview,19.9,
103,Fordham - Bronx Pk,41.5,
406,Fresh Meadows,21.5,
307,Gramercy Park - Murray Hill,10.1,
201,Greenpoint,19.6,
308,Greenwich Village - SoHo,10.7,
106,High Bridge - Morrisania,43,
107,Hunts Point - Mott Haven,45.1,
408,Jamaica,20.1,
101,Kingsbridge - Riverdale,33.6,
401,Long Island City - Astoria,17.2,
310,Lower Manhattan,12,
102,Northeast Bronx,28.9,
104,Pelham - Throgs Neck,36.8,
501,Port Richmond,11.5,
405,Ridgewood - Forest Hills,11,
410,Rockaways,24.9,
504,South Beach - Tottenville,0.5,Estimate is based on small numbers so should be interpreted with caution.
409,Southeast Queens,9,
407,Southwest Queens,12.8,
502,Stapleton - St. George,8.5,Estimate is based on small numbers so should be interpreted with caution.
205,Sunset Park,31.4,
309,Union Square - Lower East Side,28.8,
305,Upper East Side,10.3,
304,Upper West Side,17.5,
301,Washington Heights,34.7,
402,West Queens,35,
211,Williamsburg - Bushwick,31.1,
503,Willowbrook,5.5,Estimate is based on small numbers so should be interpreted with caution.
