start_date,time,geo_join_id,neighborhood,data_value,message
2002-01-01,2002,101,Kingsbridge - Riverdale,10,
2008-01-01,2008,101,Kingsbridge - Riverdale,12.6,
2017-01-01,2017,101,Kingsbridge - Riverdale,14.2,
2005-01-01,2005,101,Kingsbridge - Riverdale,18.7,
1999-01-01,1999,101,Kingsbridge - Riverdale,9.3,
2005-01-01,2005,102,Northeast Bronx,17.5,
2017-01-01,2017,102,Northeast Bronx,18.3,Estimate is based on small numbers so should be interpreted with caution.
1999-01-01,1999,102,Northeast Bronx,11.4,
2008-01-01,2008,102,Northeast Bronx,21,
2002-01-01,2002,102,Northeast Bronx,15.7,
2005-01-01,2005,103,Fordham - Bronx Pk,21.6,
2017-01-01,2017,103,Fordham - Bronx Pk,21,
2002-01-01,2002,103,Fordham - Bronx Pk,18.7,
1999-01-01,1999,103,Fordham - Bronx Pk,12.5,
2008-01-01,2008,103,Fordham - Bronx Pk,24.8,
1999-01-01,1999,104,Pelham - Throgs Neck,14.4,
2008-01-01,2008,104,Pelham - Throgs Neck,19.5,
2017-01-01,2017,104,Pelham - Throgs Neck,16,Estimate is based on small numbers so should be interpreted with caution.
2002-01-01,2002,104,Pelham - Throgs Neck,13.3,
2005-01-01,2005,104,Pelham - Throgs Neck,18.1,
2002-01-01,2002,105,Crotona -Tremont,23.8,
1999-01-01,1999,105,Crotona -Tremont,20.5,
2008-01-01,2008,105,Crotona -Tremont,21.4,
2017-01-01,2017,105,Crotona -Tremont,24.3,
2005-01-01,2005,105,Crotona -Tremont,24.6,
2008-01-01,2008,106,High Bridge - Morrisania,25.4,
2002-01-01,2002,106,High Bridge - Morrisania,21.7,
2005-01-01,2005,106,High Bridge - Morrisania,28.5,
1999-01-01,1999,106,High Bridge - Morrisania,18.8,
2017-01-01,2017,106,High Bridge - Morrisania,22.8,
2002-01-01,2002,107,Hunts Point - Mott Haven,22.2,
1999-01-01,1999,107,Hunts Point - Mott Haven,25.8,
2008-01-01,2008,107,Hunts Point - Mott Haven,25.7,
2005-01-01,2005,107,Hunts Point - Mott Haven,18.9,
2017-01-01,2017,107,Hunts Point - Mott Haven,22.1,
1999-01-01,1999,201,Greenpoint,12.9,
2005-01-01,2005,201,Greenpoint,15.2,
2008-01-01,2008,201,Greenpoint,12.4,
2002-01-01,2002,201,Greenpoint,5.4,
2017-01-01,2017,201,Greenpoint,14.9,
1999-01-01,1999,202,Downtown - Heights - Slope,15.4,
2008-01-01,2008,202,Downtown - Heights - Slope,14.2,
2017-01-01,2017,202,Downtown - Heights - Slope,10.7,Estimate is based on small numbers so should be interpreted with caution.
2002-01-01,2002,202,Downtown - Heights - Slope,14.3,
