geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,5.3,
203,Bedford Stuyvesant - Crown Heights,4.9,
209,Bensonhurst - Bay Ridge,6.3,
206,Borough Park,4.8,
208,Canarsie - Flatlands,6,
302,Central Harlem - Morningside Heights,4.4,
306,Chelsea - Clinton,3.4,
210,Coney Island - Sheepshead Bay,8.5,
105,Crotona -Tremont,3.4,
202,Downtown - Heights - Slope,3.2,
207,East Flatbush - Flatbush,4.8,
303,East Harlem,5.2,
204,East New York,4.1,
403,Flushing - Clearview,5.8,
103,Fordham - Bronx Pk,4,
406,Fresh Meadows,5.1,
307,Gramercy Park - Murray Hill,3.6,
201,Greenpoint,3.1,
308,Greenwich Village - SoHo,2.9,
106,High Bridge - Morrisania,3.9,
107,Hunts Point - Mott Haven,3.6,
408,Jamaica,5.1,
101,Kingsbridge - Riverdale,8.3,
401,Long Island City - Astoria,4.3,
310,Lower Manhattan,2.7,
102,Northeast Bronx,6.2,
104,Pelham - Throgs Neck,4.8,
501,Port Richmond,5.2,
405,Ridgewood - Forest Hills,5.3,
410,Rockaways,7.7,
504,South Beach - Tottenville,7.7,
409,Southeast Queens,4.1,
407,Southwest Queens,3.8,
502,Stapleton - St. George,8.4,
205,Sunset Park,3.1,
309,Union Square - Lower East Side,4.5,
305,Upper East Side,3.8,
304,Upper West Side,4.6,
301,Washington Heights,3.3,
402,West Queens,3.5,
211,Williamsburg - Bushwick,3.7,
503,Willowbrook,7.7,
