geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,0.27,
203,Bedford Stuyvesant - Crown Heights,0.22,
209,Bensonhurst - Bay Ridge,0.17,
206,Borough Park,0.2,
208,Canarsie - Flatlands,0.18,
302,Central Harlem - Morningside Heights,0.35,
306,Chelsea - Clinton,0.36,
210,Coney Island - Sheepshead Bay,0.18,
105,Crotona -Tremont,0.43,
202,Downtown - Heights - Slope,0.18,
207,East Flatbush - Flatbush,0.21,
303,East Harlem,0.3,
204,East New York,0.21,
403,Flushing - Clearview,0.27,
103,Fordham - Bronx Pk,0.46,
406,Fresh Meadows,0.26,
307,Gramercy Park - Murray Hill,0.4,
201,Greenpoint,0.19,
308,Greenwich Village - SoHo,0.31,
106,High Bridge - Morrisania,0.39,
107,Hunts Point - Mott Haven,0.25,
408,Jamaica,0.25,
101,Kingsbridge - Riverdale,0.3,
401,Long Island City - Astoria,0.24,
310,Lower Manhattan,0.2,
102,Northeast Bronx,0.29,
104,Pelham - Throgs Neck,0.28,
501,Port Richmond,0.12,
405,Ridgewood - Forest Hills,0.23,
410,Rockaways,0.2,
504,South Beach - Tottenville,0.11,
409,Southeast Queens,0.26,
407,Southwest Queens,0.23,
502,Stapleton - St. George,0.13,
205,Sunset Park,0.17,
309,Union Square - Lower East Side,0.33,
305,Upper East Side,0.45,
304,Upper West Side,0.44,
301,Washington Heights,0.5,
402,West Queens,0.25,
211,Williamsburg - Bushwick,0.22,
503,Willowbrook,0.12,
