geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,33.8,
203,Bedford Stuyvesant - Crown Heights,26.7,
209,Bensonhurst - Bay Ridge,25.3,
206,Borough Park,25.6,
208,Canarsie - Flatlands,17.9,
302,Central Harlem - Morningside Heights,39.4,
306,Chelsea - Clinton,45.2,
210,Coney Island - Sheepshead Bay,18.9,
105,Crotona -Tremont,36.4,
202,Downtown - Heights - Slope,39.7,
207,East Flatbush - Flatbush,21,
303,East Harlem,59.7,
204,East New York,19.4,
403,Flushing - Clearview,21.1,
103,Fordham - Bronx Pk,21.5,
406,Fresh Meadows,36.2,
307,Gramercy Park - Murray Hill,68.6,
201,Greenpoint,29.7,
308,Greenwich Village - SoHo,52.4,
106,High Bridge - Morrisania,31.8,
107,Hunts Point - Mott Haven,20.2,
408,Jamaica,20.6,
101,Kingsbridge - Riverdale,28.8,
401,Long Island City - Astoria,25.1,
310,Lower Manhattan,36.3,
102,Northeast Bronx,17.1,
104,Pelham - Throgs Neck,23.9,
501,Port Richmond,7,
405,Ridgewood - Forest Hills,27.4,
410,Rockaways,6.7,
504,South Beach - Tottenville,6.6,
409,Southeast Queens,28.2,
407,Southwest Queens,24.9,
502,Stapleton - St. George,13.2,
205,Sunset Park,26.1,
309,Union Square - Lower East Side,45.8,
305,Upper East Side,52.2,
304,Upper West Side,50.1,
301,Washington Heights,46.9,
402,West Queens,44.4,
211,Williamsburg - Bushwick,17,
503,Willowbrook,13.4,
