start_date,time,geo_join_id,neighborhood,data_value,message
2017-01-01,2017,101,Kingsbridge - Riverdale,63,
2010-01-01,2010,101,Kingsbridge - Riverdale,61.9,
2017-01-01,2017,102,Northeast Bronx,36,
2010-01-01,2010,102,Northeast Bronx,34.3,
2010-01-01,2010,103,Fordham - Bronx Pk,38.2,
2017-01-01,2017,103,Fordham - Bronx Pk,40,
2017-01-01,2017,104,Pelham - Throgs Neck,46,
2010-01-01,2010,104,Pelham - Throgs Neck,42.4,
2010-01-01,2010,105,Crotona -Tremont,30.9,
2017-01-01,2017,105,Crotona -Tremont,32,
2010-01-01,2010,106,High Bridge - Morrisania,18.2,
2017-01-01,2017,106,High Bridge - Morrisania,21,
2010-01-01,2010,107,Hunts Point - Mott Haven,16,
2017-01-01,2017,107,Hunts Point - Mott Haven,18,
2017-01-01,2017,201,Greenpoint,14,
2010-01-01,2010,201,Greenpoint,12.1,
2010-01-01,2010,202,Downtown - Heights - Slope,19.6,
2017-01-01,2017,202,Downtown - Heights - Slope,22,
2010-01-01,2010,203,Bedford Stuyvesant - Crown Heights,23.5,
2017-01-01,2017,203,Bedford Stuyvesant - Crown Heights,25,
2017-01-01,2017,204,East New York,29,
2010-01-01,2010,204,East New York,27.1,
2010-01-01,2010,205,Sunset Park,26.5,
2017-01-01,2017,205,Sunset Park,29,
2010-01-01,2010,206,Borough Park,20.3,
2017-01-01,2017,206,Borough Park,24,
2010-01-01,2010,207,East Flatbush - Flatbush,28.2,
2017-01-01,2017,207,East Flatbush - Flatbush,30,
2017-01-01,2017,208,Canarsie - Flatlands,41,
2010-01-01,2010,208,Canarsie - Flatlands,40.3,
2010-01-01,2010,209,Bensonhurst - Bay Ridge,24.7,
2017-01-01,2017,209,Bensonhurst - Bay Ridge,28,
2010-01-01,2010,210,Coney Island - Sheepshead Bay,22.7,
2017-01-01,2017,210,Coney Island - Sheepshead Bay,23,
2010-01-01,2010,211,Williamsburg - Bushwick,16.8,
2017-01-01,2017,211,Williamsburg - Bushwick,18,
2010-01-01,2010,301,Washington Heights,33,
2017-01-01,2017,301,Washington Heights,35,
2010-01-01,2010,302,Central Harlem - Morningside Heights,26.8,
2017-01-01,2017,302,Central Harlem - Morningside Heights,29,
2017-01-01,2017,303,East Harlem,31,
2010-01-01,2010,303,East Harlem,30.2,
2010-01-01,2010,304,Upper West Side,26.7,
2017-01-01,2017,304,Upper West Side,29,
2010-01-01,2010,305,Upper East Side,20.2,
2017-01-01,2017,305,Upper East Side,22,
2010-01-01,2010,306,Chelsea - Clinton,7.8,
2017-01-01,2017,306,Chelsea - Clinton,11,
2017-01-01,2017,307,Gramercy Park - Murray Hill,13,
2010-01-01,2010,307,Gramercy Park - Murray Hill,10.9,
2010-01-01,2010,308,Greenwich Village - SoHo,9.7,
2017-01-01,2017,308,Greenwich Village - SoHo,13,
2017-01-01,2017,309,Union Square - Lower East Side,25,
2010-01-01,2010,309,Union Square - Lower East Side,24.1,
2017-01-01,2017,310,Lower Manhattan,24,
2010-01-01,2010,310,Lower Manhattan,22.6,
2010-01-01,2010,401,Long Island City - Astoria,17,
2017-01-01,2017,401,Long Island City - Astoria,18,
2010-01-01,2010,402,West Queens,23.2,
2017-01-01,2017,402,West Queens,24,
2010-01-01,2010,403,Flushing - Clearview,35.2,
2017-01-01,2017,403,Flushing - Clearview,38,
2017-01-01,2017,404,Bayside - Little Neck,55,
2010-01-01,2010,404,Bayside - Little Neck,52,
2010-01-01,2010,405,Ridgewood - Forest Hills,43.9,
2017-01-01,2017,405,Ridgewood - Forest Hills,45,
2010-01-01,2010,406,Fresh Meadows,44.3,
2017-01-01,2017,406,Fresh Meadows,46,
2010-01-01,2010,407,Southwest Queens,27.8,
2017-01-01,2017,407,Southwest Queens,29,
2017-01-01,2017,408,Jamaica,35,
2010-01-01,2010,408,Jamaica,31.1,
2017-01-01,2017,409,Southeast Queens,44,
2010-01-01,2010,409,Southeast Queens,39.2,
2017-01-01,2017,410,Rockaways,37,
2010-01-01,2010,410,Rockaways,35.8,
2010-01-01,2010,501,Port Richmond,35.8,
2017-01-01,2017,501,Port Richmond,41,
2017-01-01,2017,502,Stapleton - St. George,51,
2010-01-01,2010,502,Stapleton - St. George,48.5,
2017-01-01,2017,503,Willowbrook,61,
2010-01-01,2010,503,Willowbrook,59.1,
2017-01-01,2017,504,South Beach - Tottenville,59,
2010-01-01,2010,504,South Beach - Tottenville,55.2,
