start_date,time,geo_join_id,neighborhood,data_value,message
2017-01-01,2017,101,Kingsbridge - Riverdale,7,
2017-01-01,2017,102,Northeast Bronx,9,
2017-01-01,2017,103,Fordham - Bronx Pk,12,
2017-01-01,2017,104,Pelham - Throgs Neck,8,
2017-01-01,2017,105,Crotona -Tremont,14,
2017-01-01,2017,106,High Bridge - Morrisania,15,
2017-01-01,2017,107,Hunts Point - Mott Haven,18,
2017-01-01,2017,201,Greenpoint,17,
2017-01-01,2017,202,Downtown - Heights - Slope,28,
2017-01-01,2017,203,Bedford Stuyvesant - Crown Heights,19,
2017-01-01,2017,204,East New York,8,
2017-01-01,2017,205,Sunset Park,14,
2017-01-01,2017,206,Borough Park,6,
2017-01-01,2017,207,East Flatbush - Flatbush,14,
2017-01-01,2017,208,Canarsie - Flatlands,8,
2017-01-01,2017,209,Bensonhurst - Bay Ridge,9,
2017-01-01,2017,210,Coney Island - Sheepshead Bay,10,
2017-01-01,2017,211,Williamsburg - Bushwick,14,
2017-01-01,2017,301,Washington Heights,25,
2017-01-01,2017,302,Central Harlem - Morningside Heights,16,
2017-01-01,2017,303,East Harlem,23,
2017-01-01,2017,304,Upper West Side,32,
2017-01-01,2017,305,Upper East Side,25,
2017-01-01,2017,306,Chelsea - Clinton,32,
2017-01-01,2017,307,Gramercy Park - Murray Hill,23,
2017-01-01,2017,308,Greenwich Village - SoHo,29,
2017-01-01,2017,309,Union Square - Lower East Side,36,
2017-01-01,2017,310,Lower Manhattan,30,
2017-01-01,2017,401,Long Island City - Astoria,18,
2017-01-01,2017,402,West Queens,7,
2017-01-01,2017,403,Flushing - Clearview,3,
2017-01-01,2017,404,Bayside - Little Neck,6,
2017-01-01,2017,405,Ridgewood - Forest Hills,9,
2017-01-01,2017,406,Fresh Meadows,10,
2017-01-01,2017,407,Southwest Queens,3,
2017-01-01,2017,408,Jamaica,1,
2017-01-01,2017,409,Southeast Queens,3,
2017-01-01,2017,410,Rockaways,18,
2017-01-01,2017,501,Port Richmond,1,
2017-01-01,2017,502,Stapleton - St. George,6,
2017-01-01,2017,503,Willowbrook,4,
2017-01-01,2017,504,South Beach - Tottenville,4,
