start_date,time,geo_join_id,neighborhood,data_value,message
2012-01-01,2012,101,Kingsbridge - Riverdale,15.2,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,102,Northeast Bronx,15.8,
2012-01-01,2012,103,Fordham - Bronx Pk,30.2,
2012-01-01,2012,104,Pelham - Throgs Neck,13.6,
2012-01-01,2012,105,Crotona -Tremont,30.9,
2012-01-01,2012,106,High Bridge - Morrisania,30.9,
2012-01-01,2012,107,Hunts Point - Mott Haven,30.9,
2012-01-01,2012,201,Greenpoint,7.5,
2012-01-01,2012,202,Downtown - Heights - Slope,9.8,
2012-01-01,2012,203,Bedford Stuyvesant - Crown Heights,21,
2012-01-01,2012,204,East New York,32.9,
2012-01-01,2012,205,Sunset Park,17.3,
2012-01-01,2012,206,Borough Park,10.2,
2012-01-01,2012,207,East Flatbush - Flatbush,32.7,
2012-01-01,2012,208,Canarsie - Flatlands,20.3,
2012-01-01,2012,209,Bensonhurst - Bay Ridge,NA,Estimate is suppressed due to insufficient data.
2012-01-01,2012,210,Coney Island - Sheepshead Bay,9,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,211,Williamsburg - Bushwick,31.6,
2012-01-01,2012,301,Washington Heights,26.7,
2012-01-01,2012,302,Central Harlem - Morningside Heights,12,
2012-01-01,2012,303,East Harlem,18.6,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,304,Upper West Side,11.4,
2012-01-01,2012,305,Upper East Side,5.5,
2012-01-01,2012,306,Chelsea - Clinton,11.1,
2012-01-01,2012,307,Gramercy Park - Murray Hill,5.5,
2012-01-01,2012,308,Greenwich Village - SoHo,11.1,
2012-01-01,2012,309,Union Square - Lower East Side,9.8,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,310,Lower Manhattan,9.8,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,401,Long Island City - Astoria,12.2,
2012-01-01,2012,402,West Queens,16.3,
2012-01-01,2012,403,Flushing - Clearview,10.9,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,404,Bayside - Little Neck,2.5,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,405,Ridgewood - Forest Hills,12,
2012-01-01,2012,406,Fresh Meadows,2.5,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,407,Southwest Queens,14.8,
2012-01-01,2012,408,Jamaica,16,
2012-01-01,2012,409,Southeast Queens,9.9,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,410,Rockaways,8.9,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,501,Port Richmond,8.9,
2012-01-01,2012,502,Stapleton - St. George,8.9,
2012-01-01,2012,503,Willowbrook,0.9,Estimate is based on small numbers so should be interpreted with caution.
2012-01-01,2012,504,South Beach - Tottenville,0.9,Estimate is based on small numbers so should be interpreted with caution.
