geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,90.7,
203,Bedford Stuyvesant - Crown Heights,90.6,
209,Bensonhurst - Bay Ridge,89.7,
206,Borough Park,89.7,
208,Canarsie - Flatlands,93.4,
302,Central Harlem - Morningside Heights,89.9,
306,Chelsea - Clinton,97,
210,Coney Island - Sheepshead Bay,88.7,
105,Crotona -Tremont,82.4,
202,Downtown - Heights - Slope,93.4,
207,East Flatbush - Flatbush,86.9,
303,East Harlem,85.9,
204,East New York,87.6,
403,Flushing - Clearview,88,
103,Fordham - Bronx Pk,77.7,
406,Fresh Meadows,90.7,
307,Gramercy Park - Murray Hill,97.6,
201,Greenpoint,84.4,Estimate is based on small numbers so should be interpreted with caution.
308,Greenwich Village - SoHo,97,
106,High Bridge - Morrisania,82.4,
107,Hunts Point - Mott Haven,82.4,
408,Jamaica,87.7,
101,Kingsbridge - Riverdale,93.8,
401,Long Island City - Astoria,82.6,
310,Lower Manhattan,94.7,
102,Northeast Bronx,82.8,
104,Pelham - Throgs Neck,84.5,
501,Port Richmond,84.9,
405,Ridgewood - Forest Hills,86.6,
410,Rockaways,84,Estimate is based on small numbers so should be interpreted with caution.
504,South Beach - Tottenville,96.5,
409,Southeast Queens,91.1,
407,Southwest Queens,84.8,
502,Stapleton - St. George,84.9,
205,Sunset Park,79,
309,Union Square - Lower East Side,94.7,
305,Upper East Side,97.6,
304,Upper West Side,97.3,
301,Washington Heights,87.9,
402,West Queens,70.3,
211,Williamsburg - Bushwick,78.5,
503,Willowbrook,96.5,
