geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,14,
203,Bedford Stuyvesant - Crown Heights,175.2,
209,Bensonhurst - Bay Ridge,20.9,
206,Borough Park,28.3,
208,Canarsie - Flatlands,84.2,
302,Central Harlem - Morningside Heights,218.6,
306,Chelsea - Clinton,52.2,
210,Coney Island - Sheepshead Bay,47.3,
105,Crotona -Tremont,224.2,
202,Downtown - Heights - Slope,71.3,
207,East Flatbush - Flatbush,117.5,
303,East Harlem,262.4,
204,East New York,183.1,
403,Flushing - Clearview,20.5,
103,Fordham - Bronx Pk,155.8,
406,Fresh Meadows,33.8,
307,Gramercy Park - Murray Hill,39.3,
201,Greenpoint,51.5,
308,Greenwich Village - SoHo,14.3,
106,High Bridge - Morrisania,235.8,
107,Hunts Point - Mott Haven,256,
408,Jamaica,62.3,
101,Kingsbridge - Riverdale,60.2,
401,Long Island City - Astoria,51.3,
310,Lower Manhattan,56.7,
102,Northeast Bronx,125.7,
104,Pelham - Throgs Neck,112.1,
501,Port Richmond,135.3,
405,Ridgewood - Forest Hills,32.9,
410,Rockaways,110.4,
504,South Beach - Tottenville,26.6,
409,Southeast Queens,43.9,
407,Southwest Queens,45.4,
502,Stapleton - St. George,95.5,
205,Sunset Park,46.8,
309,Union Square - Lower East Side,78.8,
305,Upper East Side,18,
304,Upper West Side,56,
301,Washington Heights,75.3,
402,West Queens,37.8,
211,Williamsburg - Bushwick,158.7,
503,Willowbrook,42.1,
