start_date,time,geo_join_id,neighborhood,data_value,message
2011-01-01,2011-2013,101,Kingsbridge - Riverdale,4.7,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,101,Kingsbridge - Riverdale,9.5,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,102,Northeast Bronx,1.1,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,102,Northeast Bronx,1.5,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,103,Fordham - Bronx Pk,1.8,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,103,Fordham - Bronx Pk,1.3,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,104,Pelham - Throgs Neck,1.4,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,104,Pelham - Throgs Neck,2.1,
2011-01-01,2011-2013,105,Crotona -Tremont,4.1,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,105,Crotona -Tremont,5.7,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,106,High Bridge - Morrisania,3.5,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,106,High Bridge - Morrisania,3,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,107,Hunts Point - Mott Haven,4.4,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,107,Hunts Point - Mott Haven,6.6,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,201,Greenpoint,0.5,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,201,Greenpoint,1.5,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,202,Downtown - Heights - Slope,4,
2011-01-01,2011-2013,202,Downtown - Heights - Slope,3.4,
2011-01-01,2011-2013,203,Bedford Stuyvesant - Crown Heights,0.9,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,203,Bedford Stuyvesant - Crown Heights,1.5,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,204,East New York,2,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,204,East New York,1.1,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,205,Sunset Park,1.7,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,205,Sunset Park,1.5,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,206,Borough Park,1.2,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,206,Borough Park,0.6,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,207,East Flatbush - Flatbush,0.4,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,207,East Flatbush - Flatbush,0.8,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,208,Canarsie - Flatlands,0.6,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,208,Canarsie - Flatlands,0.8,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,209,Bensonhurst - Bay Ridge,1.2,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,209,Bensonhurst - Bay Ridge,0.6,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,210,Coney Island - Sheepshead Bay,0.7,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,210,Coney Island - Sheepshead Bay,0.7,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,211,Williamsburg - Bushwick,2.3,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,211,Williamsburg - Bushwick,1.8,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,301,Washington Heights,3,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,301,Washington Heights,10.4,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,302,Central Harlem - Morningside Heights,5.7,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,302,Central Harlem - Morningside Heights,5,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,303,East Harlem,7.5,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,303,East Harlem,6.5,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,304,Upper West Side,2.7,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,304,Upper West Side,2,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,305,Upper East Side,6.1,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,305,Upper East Side,1.7,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,306,Chelsea - Clinton,6.6,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,306,Chelsea - Clinton,7.7,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,307,Gramercy Park - Murray Hill,7.8,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,307,Gramercy Park - Murray Hill,7,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,308,Greenwich Village - SoHo,8.8,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,308,Greenwich Village - SoHo,9.5,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,309,Union Square - Lower East Side,10.4,
2014-01-01,2014-2016,309,Union Square - Lower East Side,8.6,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,310,Lower Manhattan,23.1,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,310,Lower Manhattan,8.7,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,401,Long Island City - Astoria,2,
2011-01-01,2011-2013,401,Long Island City - Astoria,1.3,
2011-01-01,2011-2013,402,West Queens,0.5,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,402,West Queens,0.6,
2011-01-01,2011-2013,403,Flushing - Clearview,0.3,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,403,Flushing - Clearview,0.3,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,404,Bayside - Little Neck,0.1,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,404,Bayside - Little Neck,0.3,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,405,Ridgewood - Forest Hills,0.2,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,405,Ridgewood - Forest Hills,0.2,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,406,Fresh Meadows,0.1,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,406,Fresh Meadows,0.6,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,407,Southwest Queens,0.3,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,407,Southwest Queens,0.5,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,408,Jamaica,0.3,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,408,Jamaica,0.6,
2014-01-01,2014-2016,409,Southeast Queens,0.3,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,409,Southeast Queens,0.2,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,410,Rockaways,0.6,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,410,Rockaways,0.5,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,501,Port Richmond,0.7,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,501,Port Richmond,0.8,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,502,Stapleton - St. George,0.4,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,502,Stapleton - St. George,0.7,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,503,Willowbrook,0.9,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,503,Willowbrook,0.9,Estimate is based on small numbers so should be interpreted with caution.
2014-01-01,2014-2016,504,South Beach - Tottenville,0.6,Estimate is based on small numbers so should be interpreted with caution.
2011-01-01,2011-2013,504,South Beach - Tottenville,0.7,Estimate is based on small numbers so should be interpreted with caution.
