geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,3.54,
203,Bedford Stuyvesant - Crown Heights,6.06,
209,Bensonhurst - Bay Ridge,10,
206,Borough Park,17.95,
208,Canarsie - Flatlands,6.77,
302,Central Harlem - Morningside Heights,5.9,
306,Chelsea - Clinton,4.83,
210,Coney Island - Sheepshead Bay,9.87,
105,Crotona -Tremont,15.54,
202,Downtown - Heights - Slope,6.4,
207,East Flatbush - Flatbush,9.64,
303,East Harlem,7.52,
204,East New York,14.55,
403,Flushing - Clearview,8.98,
103,Fordham - Bronx Pk,17.11,
406,Fresh Meadows,7.8,
307,Gramercy Park - Murray Hill,3.83,
201,Greenpoint,8.37,
308,Greenwich Village - SoHo,5.38,
106,High Bridge - Morrisania,15.09,
107,Hunts Point - Mott Haven,12.51,
408,Jamaica,10.53,
101,Kingsbridge - Riverdale,6.89,
401,Long Island City - Astoria,7.26,
310,Lower Manhattan,9.08,
102,Northeast Bronx,7.81,
104,Pelham - Throgs Neck,9.62,
501,Port Richmond,6.17,
405,Ridgewood - Forest Hills,6.89,
410,Rockaways,8.08,
504,South Beach - Tottenville,2.18,
409,Southeast Queens,4.31,
407,Southwest Queens,8.1,
502,Stapleton - St. George,6.11,
205,Sunset Park,21.84,
309,Union Square - Lower East Side,5.72,
305,Upper East Side,4.31,
304,Upper West Side,3.83,
301,Washington Heights,10.85,
402,West Queens,17.13,
211,Williamsburg - Bushwick,9.33,
503,Willowbrook,4.89,
