geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,6,
203,Bedford Stuyvesant - Crown Heights,6.2,
209,Bensonhurst - Bay Ridge,5.93,
206,Borough Park,5.94,
208,Canarsie - Flatlands,5.69,
302,Central Harlem - Morningside Heights,6.35,
306,Chelsea - Clinton,8.5,
210,Coney Island - Sheepshead Bay,5.7,
105,Crotona -Tremont,6.28,
202,Downtown - Heights - Slope,6.69,
207,East Flatbush - Flatbush,5.97,
303,East Harlem,6.37,
204,East New York,6.02,
403,Flushing - Clearview,6.24,
103,Fordham - Bronx Pk,6,
406,Fresh Meadows,5.95,
307,Gramercy Park - Murray Hill,8.18,
201,Greenpoint,7.04,
308,Greenwich Village - SoHo,8.22,
106,High Bridge - Morrisania,6.12,
107,Hunts Point - Mott Haven,6.36,
408,Jamaica,5.97,
101,Kingsbridge - Riverdale,5.89,
401,Long Island City - Astoria,6.83,
310,Lower Manhattan,7.42,
102,Northeast Bronx,5.95,
104,Pelham - Throgs Neck,6.12,
501,Port Richmond,5.93,
405,Ridgewood - Forest Hills,6.11,
410,Rockaways,5.33,
504,South Beach - Tottenville,5.34,
409,Southeast Queens,5.78,
407,Southwest Queens,5.91,
502,Stapleton - St. George,5.7,
205,Sunset Park,6.47,
309,Union Square - Lower East Side,7.76,
305,Upper East Side,6.72,
304,Upper West Side,6.35,
301,Washington Heights,6.29,
402,West Queens,6.56,
211,Williamsburg - Bushwick,6.72,
503,Willowbrook,5.62,
