start_date,time,geo_join_id,neighborhood,data_value,message
2008-01-01,2008-2012,101,Kingsbridge - Riverdale,16,
2008-01-01,2008-2012,102,Northeast Bronx,15.4,
2008-01-01,2008-2012,103,Fordham - Bronx Pk,31.3,
2008-01-01,2008-2012,104,Pelham - Throgs Neck,21.8,
2008-01-01,2008-2012,105,Crotona -Tremont,39.3,
2008-01-01,2008-2012,106,High Bridge - Morrisania,38.3,
2008-01-01,2008-2012,107,Hunts Point - Mott Haven,43.1,
2008-01-01,2008-2012,201,Greenpoint,28.5,
2008-01-01,2008-2012,202,Downtown - Heights - Slope,16.3,
2008-01-01,2008-2012,203,Bedford Stuyvesant - Crown Heights,27.1,
2008-01-01,2008-2012,204,East New York,32.8,
2008-01-01,2008-2012,205,Sunset Park,28.4,
2008-01-01,2008-2012,206,Borough Park,25.2,
2008-01-01,2008-2012,207,East Flatbush - Flatbush,18.1,
2008-01-01,2008-2012,208,Canarsie - Flatlands,12.9,
2008-01-01,2008-2012,209,Bensonhurst - Bay Ridge,14.7,
2008-01-01,2008-2012,210,Coney Island - Sheepshead Bay,18.2,
2008-01-01,2008-2012,211,Williamsburg - Bushwick,32.5,
2008-01-01,2008-2012,301,Washington Heights,25.8,
2008-01-01,2008-2012,302,Central Harlem - Morningside Heights,27.7,
2008-01-01,2008-2012,303,East Harlem,31.8,
2008-01-01,2008-2012,304,Upper West Side,12,
2008-01-01,2008-2012,305,Upper East Side,6.8,
2008-01-01,2008-2012,306,Chelsea - Clinton,11.7,
2008-01-01,2008-2012,307,Gramercy Park - Murray Hill,8.7,
2008-01-01,2008-2012,308,Greenwich Village - SoHo,10.5,
2008-01-01,2008-2012,309,Union Square - Lower East Side,21.4,
2008-01-01,2008-2012,310,Lower Manhattan,12.4,
2008-01-01,2008-2012,401,Long Island City - Astoria,16,
2008-01-01,2008-2012,402,West Queens,18.1,
2008-01-01,2008-2012,403,Flushing - Clearview,13,
2008-01-01,2008-2012,404,Bayside - Little Neck,7.9,
2008-01-01,2008-2012,405,Ridgewood - Forest Hills,12.4,
2008-01-01,2008-2012,406,Fresh Meadows,14.1,
2008-01-01,2008-2012,407,Southwest Queens,13.1,
2008-01-01,2008-2012,408,Jamaica,15.3,
2008-01-01,2008-2012,409,Southeast Queens,6.7,
2008-01-01,2008-2012,410,Rockaways,21.4,
2008-01-01,2008-2012,501,Port Richmond,21.6,
2008-01-01,2008-2012,502,Stapleton - St. George,17,
2008-01-01,2008-2012,503,Willowbrook,8.2,
2008-01-01,2008-2012,504,South Beach - Tottenville,5.6,
