start_date,time,geo_join_id,neighborhood,data_value,message
2009-01-01,2009-2011,101,Kingsbridge - Riverdale,66.2,
2005-01-01,2005-2007,101,Kingsbridge - Riverdale,68.3,
2012-01-02,2012-2014,101,Kingsbridge - Riverdale,102.7,
2015-01-01,2015-2017,101,Kingsbridge - Riverdale,79.5,
2012-01-02,2012-2014,102,Northeast Bronx,184.4,
2005-01-01,2005-2007,102,Northeast Bronx,114.5,
2009-01-01,2009-2011,102,Northeast Bronx,79.3,
2015-01-01,2015-2017,102,Northeast Bronx,143,
2012-01-02,2012-2014,103,Fordham - Bronx Pk,232.6,
2005-01-01,2005-2007,103,Fordham - Bronx Pk,115.8,
2015-01-01,2015-2017,103,Fordham - Bronx Pk,187.8,
2009-01-01,2009-2011,103,Fordham - Bronx Pk,125,
2009-01-01,2009-2011,104,Pelham - Throgs Neck,116,
2005-01-01,2005-2007,104,Pelham - Throgs Neck,114.6,
2012-01-02,2012-2014,104,Pelham - Throgs Neck,164.3,
2015-01-01,2015-2017,104,Pelham - Throgs Neck,131.3,
2009-01-01,2009-2011,105,Crotona -Tremont,183.9,
2012-01-02,2012-2014,105,Crotona -Tremont,234.9,
2005-01-01,2005-2007,105,Crotona -Tremont,159.6,
2015-01-01,2015-2017,105,Crotona -Tremont,199.6,
2012-01-02,2012-2014,106,High Bridge - Morrisania,248.9,
2005-01-01,2005-2007,106,High Bridge - Morrisania,171.2,
2009-01-01,2009-2011,106,High Bridge - Morrisania,202,
2015-01-01,2015-2017,106,High Bridge - Morrisania,220.8,
2009-01-01,2009-2011,107,Hunts Point - Mott Haven,206.3,
2015-01-01,2015-2017,107,Hunts Point - Mott Haven,225,
2005-01-01,2005-2007,107,Hunts Point - Mott Haven,169.4,
2012-01-02,2012-2014,107,Hunts Point - Mott Haven,237.6,
2005-01-01,2005-2007,201,Greenpoint,42.7,
2012-01-02,2012-2014,201,Greenpoint,50.5,
2009-01-01,2009-2011,201,Greenpoint,58.6,
2015-01-01,2015-2017,201,Greenpoint,36.5,
2015-01-01,2015-2017,202,Downtown - Heights - Slope,62.6,
2005-01-01,2005-2007,202,Downtown - Heights - Slope,77.1,
2009-01-01,2009-2011,202,Downtown - Heights - Slope,95.3,
2012-01-02,2012-2014,202,Downtown - Heights - Slope,87.6,
2012-01-02,2012-2014,203,Bedford Stuyvesant - Crown Heights,213.9,
2009-01-01,2009-2011,203,Bedford Stuyvesant - Crown Heights,191.4,
2015-01-01,2015-2017,203,Bedford Stuyvesant - Crown Heights,173.9,
2005-01-01,2005-2007,203,Bedford Stuyvesant - Crown Heights,155.7,
2012-01-02,2012-2014,204,East New York,182.4,
2005-01-01,2005-2007,204,East New York,136.8,
2009-01-01,2009-2011,204,East New York,164,
2015-01-01,2015-2017,204,East New York,163.6,
2005-01-01,2005-2007,205,Sunset Park,37.7,
2015-01-01,2015-2017,205,Sunset Park,47.4,
2012-01-02,2012-2014,205,Sunset Park,49.9,
2009-01-01,2009-2011,205,Sunset Park,59.5,
2009-01-01,2009-2011,206,Borough Park,22.7,
2012-01-02,2012-2014,206,Borough Park,24,
