start_date,time,geo_join_id,neighborhood,data_value,message
2005-01-01,2005,101,Kingsbridge - Riverdale,22.6,
2016-01-01,2016,101,Kingsbridge - Riverdale,26.3,
2005-01-01,2005,102,Northeast Bronx,14.6,
2016-01-01,2016,102,Northeast Bronx,15.5,
2005-01-01,2005,103,Fordham - Bronx Pk,22.8,
2016-01-01,2016,103,Fordham - Bronx Pk,20.6,
2005-01-01,2005,104,Pelham - Throgs Neck,20.6,
2016-01-01,2016,104,Pelham - Throgs Neck,21.9,
2005-01-01,2005,105,Crotona -Tremont,36.3,
2016-01-01,2016,105,Crotona -Tremont,32.2,
2016-01-01,2016,106,High Bridge - Morrisania,27.9,
2005-01-01,2005,106,High Bridge - Morrisania,33,
2005-01-01,2005,107,Hunts Point - Mott Haven,19.8,
2016-01-01,2016,107,Hunts Point - Mott Haven,18.6,
2005-01-01,2005,201,Greenpoint,28.2,
2016-01-01,2016,201,Greenpoint,25.9,
2005-01-01,2005,202,Downtown - Heights - Slope,38.8,
2016-01-01,2016,202,Downtown - Heights - Slope,36.3,
2016-01-01,2016,203,Bedford Stuyvesant - Crown Heights,25.6,
2005-01-01,2005,203,Bedford Stuyvesant - Crown Heights,32.6,
2005-01-01,2005,204,East New York,17.7,
2016-01-01,2016,204,East New York,18.5,
2005-01-01,2005,205,Sunset Park,28.8,
2016-01-01,2016,205,Sunset Park,24.1,
2016-01-01,2016,206,Borough Park,24.9,
2005-01-01,2005,206,Borough Park,20.5,
2016-01-01,2016,207,East Flatbush - Flatbush,20.2,
2005-01-01,2005,207,East Flatbush - Flatbush,25.3,
2016-01-01,2016,208,Canarsie - Flatlands,17.5,
2005-01-01,2005,208,Canarsie - Flatlands,15.5,
2016-01-01,2016,209,Bensonhurst - Bay Ridge,24.2,
2005-01-01,2005,209,Bensonhurst - Bay Ridge,22,
2005-01-01,2005,210,Coney Island - Sheepshead Bay,15.1,
2016-01-01,2016,210,Coney Island - Sheepshead Bay,18.4,
2005-01-01,2005,211,Williamsburg - Bushwick,14.8,
2016-01-01,2016,211,Williamsburg - Bushwick,16.5,
2016-01-01,2016,301,Washington Heights,44.1,
2005-01-01,2005,301,Washington Heights,42.6,
2005-01-01,2005,302,Central Harlem - Morningside Heights,35.7,
2016-01-01,2016,302,Central Harlem - Morningside Heights,38,
2016-01-01,2016,303,East Harlem,57,
2005-01-01,2005,303,East Harlem,50.6,
2005-01-01,2005,304,Upper West Side,47.2,
2016-01-01,2016,304,Upper West Side,46.5,
2005-01-01,2005,305,Upper East Side,51.2,
2016-01-01,2016,305,Upper East Side,49.2,
2016-01-01,2016,306,Chelsea - Clinton,40.9,
2005-01-01,2005,306,Chelsea - Clinton,42,
2005-01-01,2005,307,Gramercy Park - Murray Hill,72.8,
2016-01-01,2016,307,Gramercy Park - Murray Hill,64.7,
2005-01-01,2005,308,Greenwich Village - SoHo,43.5,
2016-01-01,2016,308,Greenwich Village - SoHo,47.1,
2005-01-01,2005,309,Union Square - Lower East Side,49.3,
2016-01-01,2016,309,Union Square - Lower East Side,43.4,
2016-01-01,2016,310,Lower Manhattan,34.1,
2005-01-01,2005,310,Lower Manhattan,37.6,
2016-01-01,2016,401,Long Island City - Astoria,23.5,
2005-01-01,2005,401,Long Island City - Astoria,17.3,
2016-01-01,2016,402,West Queens,41.8,
2005-01-01,2005,402,West Queens,38.7,
2005-01-01,2005,403,Flushing - Clearview,18.3,
2016-01-01,2016,403,Flushing - Clearview,19.8,
2005-01-01,2005,404,Bayside - Little Neck,31.7,
2016-01-01,2016,404,Bayside - Little Neck,31.9,
2005-01-01,2005,405,Ridgewood - Forest Hills,25.1,
2016-01-01,2016,405,Ridgewood - Forest Hills,26.6,
2016-01-01,2016,406,Fresh Meadows,34.1,
2005-01-01,2005,406,Fresh Meadows,32.1,
2005-01-01,2005,407,Southwest Queens,20.4,
2016-01-01,2016,407,Southwest Queens,23.8,
2016-01-01,2016,408,Jamaica,20,
2005-01-01,2005,408,Jamaica,18.6,
2005-01-01,2005,409,Southeast Queens,25.8,
2016-01-01,2016,409,Southeast Queens,27.3,
2005-01-01,2005,410,Rockaways,4.7,
2016-01-01,2016,410,Rockaways,6.5,
2016-01-01,2016,501,Port Richmond,6.4,
2005-01-01,2005,501,Port Richmond,7.3,
2005-01-01,2005,502,Stapleton - St. George,13,
2016-01-01,2016,502,Stapleton - St. George,12.5,
2005-01-01,2005,503,Willowbrook,12.2,
2016-01-01,2016,503,Willowbrook,12.6,
2016-01-01,2016,504,South Beach - Tottenville,6.4,
2005-01-01,2005,504,South Beach - Tottenville,5.8,
