geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,81.7,
203,Bedford Stuyvesant - Crown Heights,266.7,
209,Bensonhurst - Bay Ridge,150,
206,Borough Park,126.9,
208,Canarsie - Flatlands,194.8,
302,Central Harlem - Morningside Heights,225.7,
306,Chelsea - Clinton,95.2,
210,Coney Island - Sheepshead Bay,161.3,
105,Crotona -Tremont,259.7,
202,Downtown - Heights - Slope,128,
207,East Flatbush - Flatbush,192,
303,East Harlem,287,
204,East New York,274.9,
403,Flushing - Clearview,116.1,
103,Fordham - Bronx Pk,246.6,
406,Fresh Meadows,122.8,
307,Gramercy Park - Murray Hill,119.6,
201,Greenpoint,151.4,
308,Greenwich Village - SoHo,59.9,
106,High Bridge - Morrisania,283,
107,Hunts Point - Mott Haven,306.3,
408,Jamaica,163.6,
101,Kingsbridge - Riverdale,181.3,
401,Long Island City - Astoria,147.1,
310,Lower Manhattan,73.2,
102,Northeast Bronx,197.1,
104,Pelham - Throgs Neck,204.7,
501,Port Richmond,276.5,
405,Ridgewood - Forest Hills,88.8,
410,Rockaways,272.8,
504,South Beach - Tottenville,157.4,
409,Southeast Queens,99.7,
407,Southwest Queens,137.1,
502,Stapleton - St. George,229.9,
205,Sunset Park,157.7,
309,Union Square - Lower East Side,154.3,
305,Upper East Side,82,
304,Upper West Side,107.1,
301,Washington Heights,130.1,
402,West Queens,106.9,
211,Williamsburg - Bushwick,205.7,
503,Willowbrook,153.1,
