start_date,time,geo_join_id,neighborhood,data_value,message
2014-01-01,2014,101,Kingsbridge - Riverdale,46.9313,
2014-01-01,2014,102,Northeast Bronx,20.4548,
2014-01-01,2014,103,Fordham - Bronx Pk,25.8705,
2014-01-01,2014,104,Pelham - Throgs Neck,22.3106,
2014-01-01,2014,105,Crotona -Tremont,21.4424,
2014-01-01,2014,106,High Bridge - Morrisania,12.986,
2014-01-01,2014,107,Hunts Point - Mott Haven,7.084,
2014-01-01,2014,201,Greenpoint,8.8518,
2014-01-01,2014,202,Downtown - Heights - Slope,15.9554,
2014-01-01,2014,203,Bedford Stuyvesant - Crown Heights,17.5919,
2014-01-01,2014,204,East New York,14.7548,
2014-01-01,2014,205,Sunset Park,15.0487,
2014-01-01,2014,206,Borough Park,16.4552,
2014-01-01,2014,207,East Flatbush - Flatbush,21.0179,
2014-01-01,2014,208,Canarsie - Flatlands,16.3666,
2014-01-01,2014,209,Bensonhurst - Bay Ridge,14.2306,
2014-01-01,2014,210,Coney Island - Sheepshead Bay,15.2418,
2014-01-01,2014,211,Williamsburg - Bushwick,12.5158,
2014-01-01,2014,301,Washington Heights,27.2105,
2014-01-01,2014,302,Central Harlem - Morningside Heights,20.6768,
2014-01-01,2014,303,East Harlem,14.5933,
2014-01-01,2014,304,Upper West Side,22.3844,
2014-01-01,2014,305,Upper East Side,17.0266,
2014-01-01,2014,306,Chelsea - Clinton,7.1955,
2014-01-01,2014,307,Gramercy Park - Murray Hill,10.5076,
2014-01-01,2014,308,Greenwich Village - SoHo,9.3442,
2014-01-01,2014,309,Union Square - Lower East Side,20.6023,
2014-01-01,2014,310,Lower Manhattan,14.1067,
2014-01-01,2014,401,Long Island City - Astoria,10.411,
2014-01-01,2014,402,West Queens,13.4604,
2014-01-01,2014,403,Flushing - Clearview,19.8521,
2014-01-01,2014,404,Bayside - Little Neck,34.1789,
2014-01-01,2014,405,Ridgewood - Forest Hills,26.3968,
2014-01-01,2014,406,Fresh Meadows,26.1985,
2014-01-01,2014,407,Southwest Queens,15.6821,
2014-01-01,2014,408,Jamaica,20.087,
2014-01-01,2014,409,Southeast Queens,21.7619,
2014-01-01,2014,410,Rockaways,13.2571,
2014-01-01,2014,501,Port Richmond,21.5901,
2014-01-01,2014,502,Stapleton - St. George,30.092,
2014-01-01,2014,503,Willowbrook,30.9026,
2014-01-01,2014,504,South Beach - Tottenville,31.9619,
