Start Date,Time,Geo Join ID,Neighborhood,Data Value,Message
2005-01-01,2005,101,Kingsbridge - Riverdale,71.4,
2005-01-01,2005,102,Northeast Bronx,105.5,
2005-01-01,2005,103,Fordham - Bronx Pk,114.6,
2005-01-01,2005,104,Pelham - Throgs Neck,111.8,
2005-01-01,2005,105,Crotona -Tremont,163,
2005-01-01,2005,106,High Bridge - Morrisania,135.2,
2005-01-01,2005,409,Southeast Queens,80.4,
2005-01-01,2005,410,Rockaways,47.7,
2005-01-01,2005,501,Port Richmond,141.3,
2005-01-01,2005,502,Stapleton - St. George,111.7,
2005-01-01,2005,503,Willowbrook,67.7,
2005-01-01,2005,504,South Beach - Tottenville,57.7,
2005-01-01,2005,403,Flushing - Clearview,94.3,
2005-01-01,2005,404,Bayside - Little Neck,48.2,
2005-01-01,2005,405,Ridgewood - Forest Hills,91.7,
2005-01-01,2005,406,Fresh Meadows,78.4,
2005-01-01,2005,407,Southwest Queens,104.1,
2005-01-01,2005,408,Jamaica,115.7,
2005-01-01,2005,307,Gramercy Park - Murray Hill,89.4,
2005-01-01,2005,308,Greenwich Village - SoHo,65.7,
2005-01-01,2005,309,Union Square - Lower East Side,104.6,
2005-01-01,2005,310,Lower Manhattan,112.9,
2005-01-01,2005,401,Long Island City - Astoria,115.8,
2005-01-01,2005,402,West Queens,111.2,
2005-01-01,2005,301,Washington Heights,73.7,
2005-01-01,2005,302,Central Harlem - Morningside Heights,119,
2005-01-01,2005,303,East Harlem,117.2,
2005-01-01,2005,304,Upper West Side,63.9,
2005-01-01,2005,305,Upper East Side,66.8,
2005-01-01,2005,306,Chelsea - Clinton,81.9,
2005-01-01,2005,206,Borough Park,82.9,
2005-01-01,2005,207,East Flatbush - Flatbush,132,
2005-01-01,2005,208,Canarsie - Flatlands,111.9,
2005-01-01,2005,209,Bensonhurst - Bay Ridge,82,
2005-01-01,2005,210,Coney Island - Sheepshead Bay,83.3,
2005-01-01,2005,211,Williamsburg - Bushwick,133.5,
2005-01-01,2005,107,Hunts Point - Mott Haven,141.3,
2005-01-01,2005,201,Greenpoint,77.2,
2005-01-01,2005,202,Downtown - Heights - Slope,123,
2005-01-01,2005,203,Bedford Stuyvesant - Crown Heights,162.1,
2005-01-01,2005,204,East New York,149.9,
2005-01-01,2005,205,Sunset Park,104,
2006-01-01,2006,101,Kingsbridge - Riverdale,65.3,
2006-01-01,2006,102,Northeast Bronx,109.7,
2006-01-01,2006,103,Fordham - Bronx Pk,141.3,
2006-01-01,2006,104,Pelham - Throgs Neck,121.1,
2006-01-01,2006,105,Crotona -Tremont,178.2,
2006-01-01,2006,106,High Bridge - Morrisania,150.9,
2006-01-01,2006,409,Southeast Queens,66.4,
2006-01-01,2006,410,Rockaways,38.4,
2006-01-01,2006,501,Port Richmond,138.3,
2006-01-01,2006,502,Stapleton - St. George,115.2,
2006-01-01,2006,503,Willowbrook,83.7,
2006-01-01,2006,504,South Beach - Tottenville,71.2,
2006-01-01,2006,403,Flushing - Clearview,91.1,
2006-01-01,2006,404,Bayside - Little Neck,46.4,
2006-01-01,2006,405,Ridgewood - Forest Hills,89.9,
2006-01-01,2006,406,Fresh Meadows,88.9,
2006-01-01,2006,407,Southwest Queens,106.5,
2006-01-01,2006,408,Jamaica,112.6,
2006-01-01,2006,307,Gramercy Park - Murray Hill,99.6,
2006-01-01,2006,308,Greenwich Village - SoHo,87.5,
2006-01-01,2006,309,Union Square - Lower East Side,100.6,
2006-01-01,2006,310,Lower Manhattan,111.8,
2006-01-01,2006,401,Long Island City - Astoria,100.4,
2006-01-01,2006,402,West Queens,89.2,
2006-01-01,2006,301,Washington Heights,107.8,
2006-01-01,2006,302,Central Harlem - Morningside Heights,134.7,
2006-01-01,2006,303,East Harlem,172,
2006-01-01,2006,304,Upper West Side,47.6,
2006-01-01,2006,305,Upper East Side,93,
2006-01-01,2006,306,Chelsea - Clinton,110.7,
2006-01-01,2006,206,Borough Park,85.3,
2006-01-01,2006,207,East Flatbush - Flatbush,112.7,
2006-01-01,2006,208,Canarsie - Flatlands,95.1,
2006-01-01,2006,209,Bensonhurst - Bay Ridge,69.8,
2006-01-01,2006,210,Coney Island - Sheepshead Bay,85.2,
2006-01-01,2006,211,Williamsburg - Bushwick,114.3,
2006-01-01,2006,107,Hunts Point - Mott Haven,151.5,
2006-01-01,2006,201,Greenpoint,70,
2006-01-01,2006,202,Downtown - Heights - Slope,129,
2006-01-01,2006,203,Bedford Stuyvesant - Crown Heights,142.3,
2006-01-01,2006,204,East New York,129.7,
2006-01-01,2006,205,Sunset Park,106.1,
2007-01-01,2007,101,Kingsbridge - Riverdale,71.6,
2007-01-01,2007,102,Northeast Bronx,120.7,
2007-01-01,2007,103,Fordham - Bronx Pk,147.9,
2007-01-01,2007,104,Pelham - Throgs Neck,126.1,
2007-01-01,2007,105,Crotona -Tremont,166.8,
2007-01-01,2007,106,High Bridge - Morrisania,157.2,
2007-01-01,2007,409,Southeast Queens,62.4,
2007-01-01,2007,410,Rockaways,62.4,
2007-01-01,2007,501,Port Richmond,116.1,
2007-01-01,2007,502,Stapleton - St. George,106.4,
2007-01-01,2007,503,Willowbrook,65.9,
2007-01-01,2007,504,South Beach - Tottenville,70.8,
2007-01-01,2007,403,Flushing - Clearview,79.7,
2007-01-01,2007,404,Bayside - Little Neck,38.3,
2007-01-01,2007,405,Ridgewood - Forest Hills,83.5,
2007-01-01,2007,406,Fresh Meadows,85.9,
2007-01-01,2007,407,Southwest Queens,84.4,
2007-01-01,2007,408,Jamaica,87.2,
2007-01-01,2007,307,Gramercy Park - Murray Hill,81,
2007-01-01,2007,308,Greenwich Village - SoHo,56.2,
2007-01-01,2007,309,Union Square - Lower East Side,85.9,
2007-01-01,2007,310,Lower Manhattan,91.5,
2007-01-01,2007,401,Long Island City - Astoria,105,
2007-01-01,2007,402,West Queens,85.7,
2007-01-01,2007,301,Washington Heights,121.5,
2007-01-01,2007,302,Central Harlem - Morningside Heights,129.2,
2007-01-01,2007,303,East Harlem,168.9,
2007-01-01,2007,304,Upper West Side,60.6,
2007-01-01,2007,305,Upper East Side,81.3,
2007-01-01,2007,306,Chelsea - Clinton,84.7,
2007-01-01,2007,206,Borough Park,108.2,
2007-01-01,2007,207,East Flatbush - Flatbush,145,
2007-01-01,2007,208,Canarsie - Flatlands,118.2,
2007-01-01,2007,209,Bensonhurst - Bay Ridge,82.3,
2007-01-01,2007,210,Coney Island - Sheepshead Bay,94.8,
2007-01-01,2007,211,Williamsburg - Bushwick,138.2,
2007-01-01,2007,107,Hunts Point - Mott Haven,155,
2007-01-01,2007,201,Greenpoint,80.4,
2007-01-01,2007,202,Downtown - Heights - Slope,100.2,
2007-01-01,2007,203,Bedford Stuyvesant - Crown Heights,150.1,
2007-01-01,2007,204,East New York,162.1,
2007-01-01,2007,205,Sunset Park,156.8,
2008-01-01,2008,101,Kingsbridge - Riverdale,72.5,
2008-01-01,2008,102,Northeast Bronx,105.9,
2008-01-01,2008,103,Fordham - Bronx Pk,119.5,
2008-01-01,2008,104,Pelham - Throgs Neck,89.2,
2008-01-01,2008,105,Crotona -Tremont,148.6,
2008-01-01,2008,106,High Bridge - Morrisania,115.7,
