start_date,time,geo_join_id,neighborhood,data_value,message
2018-01-01,2018,101,Kingsbridge - Riverdale,33,
2018-01-01,2018,102,Northeast Bronx,25,
2018-01-01,2018,103,Fordham - Bronx Pk,69,
2018-01-01,2018,104,Pelham - Throgs Neck,32,
2018-01-01,2018,105,Crotona -Tremont,54,
2018-01-01,2018,106,High Bridge - Morrisania,47,
2018-01-01,2018,107,Hunts Point - Mott Haven,84,
2018-01-01,2018,201,Greenpoint,57,
2018-01-01,2018,202,Downtown - Heights - Slope,65,
2018-01-01,2018,203,Bedford Stuyvesant - Crown Heights,63,
2018-01-01,2018,204,East New York,66,
2018-01-01,2018,205,Sunset Park,60,
2018-01-01,2018,206,Borough Park,62,
2018-01-01,2018,207,East Flatbush - Flatbush,50,
2018-01-01,2018,208,Canarsie - Flatlands,5,
2018-01-01,2018,209,Bensonhurst - Bay Ridge,47,
2018-01-01,2018,210,Coney Island - Sheepshead Bay,43,
2018-01-01,2018,211,Williamsburg - Bushwick,71,
2018-01-01,2018,301,Washington Heights,96,
2018-01-01,2018,302,Central Harlem - Morningside Heights,88,
2018-01-01,2018,303,East Harlem,60,
2018-01-01,2018,304,Upper West Side,94,
2018-01-01,2018,305,Upper East Side,74,
2018-01-01,2018,306,Chelsea - Clinton,80,
2018-01-01,2018,307,Gramercy Park - Murray Hill,57,
2018-01-01,2018,308,Greenwich Village - SoHo,89,
2018-01-01,2018,309,Union Square - Lower East Side,61,
2018-01-01,2018,310,Lower Manhattan,76,
2018-01-01,2018,401,Long Island City - Astoria,55,
2018-01-01,2018,402,West Queens,41,
2018-01-01,2018,403,Flushing - Clearview,4,
2018-01-01,2018,404,Bayside - Little Neck,0,
2018-01-01,2018,405,Ridgewood - Forest Hills,43,
2018-01-01,2018,406,Fresh Meadows,0,
2018-01-01,2018,407,Southwest Queens,39,
2018-01-01,2018,408,Jamaica,23,
2018-01-01,2018,409,Southeast Queens,0,
2018-01-01,2018,410,Rockaways,39,
2018-01-01,2018,501,Port Richmond,0,
2018-01-01,2018,502,Stapleton - St. George,12,
2018-01-01,2018,503,Willowbrook,0,
2018-01-01,2018,504,South Beach - Tottenville,15,
